,x,y,z
353,466780.7044594831,401038.06274120044,2434.0
354,470883.9772862549,235686.30729193613,573.0
355,347148.1997185058,325607.365970009,2753.0
356,319879.67795505526,380964.8586175423,2181.0
357,313739.15865203785,414038.15656733327,415.0
358,128393.33340650535,204506.1408225894,2629.0
359,643737.2162025725,337990.8248938918,520.0
360,502283.65221956227,342821.53051987477,678.0
361,224719.7719675246,253701.62776629347,1407.0
362,324346.17808767833,317067.5210403446,1244.0
363,150253.33394167473,251238.56629993115,2336.0
364,855185.0306682312,564427.8490418987,174.0
365,4301.598321285914,142162.48714102153,885.0
366,224809.61625304783,359600.1192445494,579.0
367,397361.0131319005,317567.1655290881,1757.0
368,334949.42121608625,438156.97259126324,800.0
369,873158.4800452872,464674.5658798879,421.0
370,368708.6961916902,269177.92159536574,822.0
371,584849.3294211801,404356.9856026629,2586.0
372,709215.6206151391,410748.77914947085,1470.0
373,59203.602933465736,96151.28609170485,552.0
374,650457.3999063105,312217.6490937853,454.0
375,671127.4248586197,505478.4010850312,469.0
376,18839.578000146546,115103.12528550532,439.0
377,766459.7352856772,489169.6717343321,1167.0
378,500015.95587623987,466298.89065096434,727.0
379,549272.5343556879,279677.76216934994,467.0
380,443262.5589819984,285380.5107247103,798.0
381,507424.7336185247,415806.5532022994,2095.0
382,179653.71416659403,128398.53473149892,1191.0
383,277334.42933856527,379063.5394976409,2549.0
384,463396.121065634,344094.5903271716,1395.0
385,135254.28437748662,293860.6964707747,807.0
386,260541.17720458307,284675.8316929545,465.0
387,535625.8591447193,388007.5322279129,990.0
388,808844.0138003167,512633.58387015015,933.0
389,101058.89306456276,131851.04105478432,1510.0
390,749399.5250883212,352223.52731523383,1502.0
391,420946.1746439897,411647.1237207176,1715.0
392,786664.6750997929,379416.73215801455,471.0
393,773012.9520612424,522334.73903287575,411.0
394,40647.71731887484,91231.86455219798,759.0
395,826731.4437388384,494295.7669833852,473.0
396,436071.539633969,382532.07652795874,2687.0
397,137823.382603086,212217.6987937279,2780.0
398,116007.59922370972,251898.171292481,1805.0
399,354080.2772125104,302635.9584097313,1576.0
400,109646.14880606538,232403.48421707284,1941.0
401,494121.4745292819,242917.48910113797,192.0
402,449934.1957317207,301496.3292808337,1249.0
403,366981.6998500954,448417.99674769957,411.0
404,321523.4534610744,338827.30288166646,1855.0
405,417618.44813159487,431632.5813509533,1938.0
406,474155.8202486345,468331.14854326565,625.0
407,142696.37745152792,19969.929728084244,53.0
408,386227.1186806217,438608.8841467807,1523.0
409,68135.29864900498,230158.4636097718,1177.0
410,184955.38544908707,67022.21170190908,2337.0
411,455667.01984722685,440750.6875395635,962.0
412,483694.8802491171,443899.93409023434,1614.0
413,462033.6356025843,292216.0532567259,741.0
414,112976.2644621458,56757.616499525495,1169.0
415,470822.8888704223,401467.74811903574,2972.0
416,310297.90607137315,389226.81161342934,1730.0
